horizon,region,region_kr,year,n_decisions,always_now_risk,model_rule_risk,climate_rule_risk,oracle_risk,model_improvement_pct,climate_improvement_pct,oracle_improvement_pct,oracle_capture_pct,direction_accuracy,mean_regret,delay_choice_rate
7,chukchi,추크치해,2024,116,0.5800222528746427,0.5438116320174239,0.5653834566209498,0.523353280352782,0.0624297096839918,0.025238335565819607,0.0977013765265112,0.6389849550077888,0.6982758620689655,0.020458351664641886,0.5517241379310345
7,east_siberian,동시베리아해,2022,116,0.5260695944618573,0.509383431528436,0.5341601357756565,0.48623333218304954,0.03171854657460368,-0.01537922244313583,0.07572431993443425,0.4188686884486663,0.6724137931034483,0.023150099345386574,0.43103448275862066
7,east_siberian,동시베리아해,2023,116,0.35006977087945595,0.31682630498995246,0.3249392504436943,0.3028034537755447,0.09496240079795593,0.07178717651806375,0.13501970474390687,0.7033225333892709,0.7068965517241379,0.014022851214407774,0.4396551724137931
7,east_siberian,동시베리아해,2024,116,0.3723289730287561,0.34249127285321773,0.35562400411111994,0.32844382180057663,0.08013800251111247,0.044866153664453075,0.11786660294306482,0.6799042350429234,0.7327586206896551,0.014047451052641097,0.3793103448275862
7,kara,카라해,2022,116,0.38106872540778797,0.35650118097085876,0.36383931291965826,0.33604340877277344,0.06447011470342803,0.045213399419467504,0.11815537102088917,0.5456384601596326,0.7068965517241379,0.020457772198085315,0.46551724137931033
7,kara,카라해,2023,116,0.5170269576977099,0.49292526914683,0.5138052554628003,0.4780160428575992,0.04661592242347146,0.006231207458225451,0.07545238069176118,0.6178191065157679,0.6724137931034483,0.014909226289230762,0.6120689655172413
7,kara,카라해,2024,116,0.32439727643921173,0.29762387375269944,0.30913733940942784,0.28331571244942955,0.08253276038687495,0.047040891333264424,0.12663966985394956,0.6517133255484474,0.8189655172413793,0.014308161303269932,0.5948275862068966
7,laptev,랍테프해,2022,116,0.6336045697230155,0.6107946908807276,0.6333106121778611,0.601330804919138,0.03600018044734021,0.0004639447996451209,0.05093676142201143,0.7067622566161689,0.7758620689655172,0.00946388596158963,0.5344827586206896
7,laptev,랍테프해,2023,116,0.6345882317794656,0.603317714015715,0.6304685554402154,0.5908304515983481,0.049276863638117084,0.0064918889650664524,0.0689546039301975,0.7146276075778765,0.7327586206896551,0.01248726241736683,0.43103448275862066
7,laptev,랍테프해,2024,116,0.6073601500682263,0.5903702682695563,0.6093698546241243,0.5736844075384844,0.027973323236240452,-0.00330891737904148,0.05544608503860361,0.5045139474998892,0.6724137931034483,0.01668586073107198,0.5603448275862069
