region,year,month,mean_relative_pct,median_relative_pct,p_worse,n_pairs
chukchi,2023,10,18.43757049807302,13.849510367481976,0.75,28
chukchi,2024,7,1.577726729379903,-0.12337594561411258,0.4838709677419355,31
chukchi,2024,8,-8.939607739953198,-8.776546226135629,0.22580645161290322,31
chukchi,2024,9,4.29219825154871,-4.170228257694392,0.4666666666666667,30
chukchi,2024,10,21.368615265444667,14.272605892381062,0.75,28
east_siberian,2015,7,0.519119295017443,1.3742326895890278,0.5483870967741935,31
east_siberian,2015,8,-6.300056759080934,-5.990963007311578,0.3548387096774194,31
east_siberian,2015,9,20.043677963858634,12.664174958401519,0.6,30
east_siberian,2015,10,3.1237903725732963,6.549515449781429,0.6071428571428571,28
east_siberian,2016,7,1.4191708459608092,-0.46842532128700265,0.4838709677419355,31
east_siberian,2016,8,-6.726783749581017,-3.1974253369120076,0.41935483870967744,31
east_siberian,2016,9,30.197177742876804,-4.55521849291391,0.43333333333333335,30
east_siberian,2016,10,8.223671022493134,8.12090304318499,0.5714285714285714,28
east_siberian,2017,7,-0.36642105759736254,-2.3087191593254675,0.3870967741935484,31
east_siberian,2017,8,2.0495319095237123,0.4059725119889501,0.5161290322580645,31
east_siberian,2017,9,12.020097747316784,2.291329656559121,0.5,30
east_siberian,2017,10,1.5454488207562005,0.29034069731337375,0.5357142857142857,28
east_siberian,2018,7,0.8502491996280058,-2.033154990658337,0.4838709677419355,31
east_siberian,2018,8,-0.9449699619028433,-0.5250694793731192,0.4838709677419355,31
east_siberian,2018,9,0.6780007427752532,-6.638264135935213,0.43333333333333335,30
east_siberian,2018,10,7.5690144782546565,4.926197569434954,0.6428571428571429,28
east_siberian,2019,7,-4.057522870241436,0.35707669470064207,0.5161290322580645,31
east_siberian,2019,8,-0.4987882141724851,-7.919196921199633,0.3225806451612903,31
east_siberian,2019,9,25.571514399920996,-10.174781800361377,0.4666666666666667,30
east_siberian,2019,10,30.449077600401544,5.983271298990978,0.5714285714285714,28
east_siberian,2020,7,-3.9760586666998363,-3.6655606455323952,0.3225806451612903,31
east_siberian,2020,8,-1.7813221644770314,-0.8527356950093212,0.4838709677419355,31
east_siberian,2020,9,22.813902687328792,3.0063563198826415,0.5333333333333333,30
east_siberian,2020,10,39.419192258935446,18.69238695519989,0.6428571428571429,28
east_siberian,2021,7,0.5368044565932547,0.5505339992658786,0.5161290322580645,31
east_siberian,2021,8,-0.7893282053671583,-10.291937661239182,0.3225806451612903,31
east_siberian,2021,9,39.129009846997405,22.440873827599706,0.6666666666666666,30
east_siberian,2021,10,-0.06649038396528724,-0.8972017003847976,0.4642857142857143,28
east_siberian,2022,7,1.9140048730493233,0.619923409693568,0.5161290322580645,31
east_siberian,2022,8,-0.7776765322453447,0.5763590812383201,0.5161290322580645,31
east_siberian,2022,9,2.503764615172791,-2.9998526457400865,0.43333333333333335,30
east_siberian,2022,10,1.997331342183713,0.897879963256154,0.5357142857142857,28
east_siberian,2023,7,-1.0064590783721028,-1.2405461237547266,0.45161290322580644,31
east_siberian,2023,8,-3.66240701052726,-4.321913260706367,0.3870967741935484,31
east_siberian,2023,9,11.254615743001178,-11.169096410161245,0.43333333333333335,30
east_siberian,2023,10,22.835031024375912,5.255078052216811,0.5714285714285714,28
east_siberian,2024,7,-0.2099856288632488,0.7046115263332764,0.5483870967741935,31
east_siberian,2024,8,-9.421575173340598,-6.066031395590543,0.3548387096774194,31
east_siberian,2024,9,10.188335653331382,-1.9471475740369448,0.4666666666666667,30
east_siberian,2024,10,22.511693155856126,13.532664196425658,0.7142857142857143,28
kara,2015,7,-2.9602446100423987,-5.9728524822309055,0.3870967741935484,31
