region,region_kr,mmdd,risk_mean,risk_median,risk_q25,risk_q75,p_below_year_median,years,candidate
east_siberian,동시베리아해,08-31,0.2641955172767366,0.20248293458267502,0.1440252555895223,0.40113220816093886,0.9,10,True
east_siberian,동시베리아해,09-01,0.2597333048789926,0.18496890123831383,0.1178529823647049,0.43254742187259754,0.9,10,True
east_siberian,동시베리아해,09-02,0.25553078942537194,0.1763100124369903,0.1469558209630797,0.4094001529073122,1.0,10,True
east_siberian,동시베리아해,09-03,0.2585045431253198,0.18860190092004925,0.1672186829734701,0.4106207400699511,0.9,10,True
east_siberian,동시베리아해,09-04,0.25642290134669377,0.18407964282645978,0.14548763448558705,0.4014810053586616,0.9,10,True
east_siberian,동시베리아해,09-05,0.2418725365547075,0.17602260151128504,0.14263282250004308,0.3515421604372263,1.0,10,True
east_siberian,동시베리아해,09-06,0.23429848158702446,0.179914793882346,0.12635066325077782,0.3167143219639727,1.0,10,True
east_siberian,동시베리아해,09-07,0.22851038464384482,0.16238654030866015,0.13712242397870641,0.31543039266870904,1.0,10,True
east_siberian,동시베리아해,09-08,0.23537720348294866,0.20347780534232224,0.1534944706513927,0.2970021107008379,1.0,10,True
east_siberian,동시베리아해,09-09,0.22855059587837917,0.19383302714413392,0.16175799523327114,0.26938378384844236,1.0,10,True
east_siberian,동시베리아해,09-10,0.21267853950306975,0.18414806218574303,0.13512874365437777,0.2768451951135445,1.0,10,True
east_siberian,동시베리아해,09-11,0.21215599325756873,0.1794587178238852,0.12108533683679336,0.2876769845215345,1.0,10,True
east_siberian,동시베리아해,09-12,0.23046679860922867,0.18419251805832743,0.1391210070210319,0.2914334524171701,1.0,10,True
east_siberian,동시베리아해,09-13,0.22256379096634582,0.19193927398993615,0.14032573456064423,0.31025994300830323,1.0,10,True
east_siberian,동시베리아해,09-14,0.22262999892925373,0.20322917167833648,0.12663177251214935,0.3113428267969704,1.0,10,True
east_siberian,동시베리아해,09-15,0.24405265307739885,0.20519348918739266,0.16131032586244906,0.29031699843341024,1.0,10,True
east_siberian,동시베리아해,09-16,0.2215793560032981,0.2007757109932931,0.1428315755965931,0.2750335302878281,0.9,10,True
east_siberian,동시베리아해,09-17,0.22049971992524414,0.2291585373974337,0.13402325491727024,0.31535364689767664,0.9,10,True
east_siberian,동시베리아해,09-18,0.19592504875970138,0.1748932423574046,0.13920974387670304,0.2596072738729066,1.0,10,True
east_siberian,동시베리아해,09-19,0.1989918798023438,0.2199321848907956,0.09087005399202544,0.25994561300805874,0.9,10,True
east_siberian,동시베리아해,09-20,0.23259652636077513,0.18768634425974876,0.12977502123520213,0.26200321903294216,1.0,10,True
east_siberian,동시베리아해,09-21,0.24376376195415844,0.2227585699690702,0.16119671981510847,0.26212457294317865,0.8,10,True
east_siberian,동시베리아해,09-22,0.2232254991757558,0.2135995695641404,0.15317028431947516,0.2345334791944958,0.9,10,True
east_siberian,동시베리아해,09-23,0.21512278908799803,0.19786509533573726,0.16228756584545498,0.2112761154653759,1.0,10,True
east_siberian,동시베리아해,09-24,0.23752094271792873,0.2087692750648887,0.15824185800961585,0.28627887652046097,1.0,10,True
east_siberian,동시베리아해,09-25,0.2496538714818381,0.21185077555527865,0.16410662192071065,0.28151242131665577,0.9,10,True
east_siberian,동시베리아해,09-26,0.30521131280886504,0.2940506279851501,0.18059323697982607,0.4504804588845082,0.9,10,True
east_siberian,동시베리아해,09-27,0.37916911903961537,0.4338062114879464,0.2125132413917824,0.4826720668856798,0.8,10,False
east_siberian,동시베리아해,09-28,0.4010885447986839,0.47340441587786625,0.26105966665122826,0.5411170736910413,0.5,10,False
east_siberian,동시베리아해,09-29,0.3958936274950876,0.46388577365619243,0.20652300647710783,0.5262886664544982,0.5,10,False
east_siberian,동시베리아해,09-30,0.38399863865323397,0.43136097069037993,0.2380754411169344,0.4835852720724311,0.6,10,False
east_siberian,동시베리아해,10-01,0.3958703669737656,0.41842270156052863,0.22808204348020267,0.5390097330742457,0.5,10,False
east_siberian,동시베리아해,10-02,0.39899986094368795,0.40827068153737994,0.22172387855798112,0.5356714357879128,0.6,10,False
east_siberian,동시베리아해,10-03,0.36283365018266045,0.3998341520288641,0.18553256323174855,0.49155392436825385,0.8,10,False
east_siberian,동시베리아해,10-04,0.35939574717666856,0.3791024185155476,0.17192484120607615,0.5363794519832181,0.6,10,False
east_siberian,동시베리아해,10-05,0.37555211494542035,0.38579225902670977,0.17746020099880905,0.5505480364987902,0.6,10,False
east_siberian,동시베리아해,10-06,0.4023289705689484,0.4137141852395013,0.18252107137934326,0.5755769175393726,0.5,10,False
east_siberian,동시베리아해,10-07,0.41773967806420753,0.3876401244426555,0.21145103206547813,0.6424266444365252,0.5,10,False
east_siberian,동시베리아해,10-08,0.4086878113576147,0.4056692237995587,0.20834289739742365,0.5492493040132717,0.6,10,False
east_siberian,동시베리아해,10-09,0.43327245865184116,0.4562666325881529,0.31433715112699623,0.5494200121474074,0.5,10,False
east_siberian,동시베리아해,10-10,0.437329450231298,0.5175111844348295,0.34197611775609243,0.5280735840223524,0.4,10,False
east_siberian,동시베리아해,10-11,0.44069832510825446,0.491423846958125,0.3102230426407953,0.5853234047413313,0.5,10,False
east_siberian,동시베리아해,10-12,0.4674109438457698,0.5175992671136135,0.3465582560692384,0.6158067873113998,0.5,10,False
east_siberian,동시베리아해,10-13,0.48054004710687137,0.4982393782132093,0.3843181210054579,0.578420106096618,0.4,10,False
east_siberian,동시베리아해,10-14,0.4985215451328043,0.5393774435811585,0.42155412899538447,0.5612696308683705,0.3,10,False
east_siberian,동시베리아해,10-15,0.536668479066742,0.5402770748153478,0.513257029594814,0.6064102950336503,0.1,10,False
east_siberian,동시베리아해,10-16,0.5283604917462792,0.5680063735962675,0.5020180190016308,0.5986277882564177,0.2,10,False
