datetime,n_sec,latitude,longitude,temp_c,rh,wspd,wspd_max,wdir,pres_hpa,heading,sog_ms,cog_deg,qc_bad_temp,qc_bad_wspd,qc_bad_pres,wspd_zero_frac,cruise_year
2024-09-15 20:00:00,3599,57.93723766666667,-167.31096333333335,8.03,95.6,6.0,7.0,180.03735270178413,,171.0225909896199,5.932733563964285,173.43971590944653,0.0,0.0,1.0,0.0,2024
2024-09-15 21:00:00,3600,57.74889341666666,-167.26982916666665,8.38,93.9,5.9,6.9,180.07125256602097,,171.37169922798302,5.8263433631271075,173.31453308630475,0.0,0.0,1.0,0.0,2024
2024-09-15 22:00:00,3601,57.56344616666667,-167.23007199999998,8.49,94.0,5.8,7.0,180.24686269135537,,172.3808277203896,5.708842465456685,173.35182652703162,0.0,0.0,1.0,0.0,2024
2024-09-15 23:00:00,3600,57.382429,-167.190595,8.63,92.9,5.6,6.7,180.69231947200396,,174.4842838862811,5.560248633028981,173.4264098963942,0.0,0.0,1.0,0.0,2024
2024-09-16 00:00:00,3598,57.20405783333334,-167.15241233333336,8.53,94.3,5.6,7.3,180.86659433303984,,176.97766901489658,5.54325053914258,173.38944405480171,0.0,0.0,1.0,0.0,2024
2024-09-16 01:00:00,3600,57.02665275,-167.11427966666668,8.85,91.1,5.7,7.3,180.53343698706706,,178.56945537537686,5.595831894975788,173.36125158254245,0.0,0.0,1.0,0.0,2024
2024-09-16 02:00:00,3599,56.84228933333334,-167.07602283333333,9.02,90.3,6.0,7.4,180.05416615447945,,178.66059486546837,5.923370590385971,173.39829158294575,0.0,0.0,1.0,0.0,2024
2024-09-16 03:00:00,3599,56.64619283333333,-167.0368031666667,9.21,89.2,6.3,7.3,180.00088993195226,,177.63003436376812,6.179816800277957,173.46823555556628,0.0,0.0,1.0,0.0,2024
2024-09-16 04:00:00,3599,56.442906166666674,-166.99208016666665,9.26,89.4,6.5,7.6,180.0,,176.41425678907135,6.497224431198037,173.49320479443102,0.0,0.0,1.0,0.0,2024
2024-09-16 05:00:00,3599,56.23310333333334,-166.94850583333331,9.38,85.6,6.5,7.7,180.0,,174.51272777451956,6.408261702170019,173.3043828592661,0.0,0.0,1.0,0.0,2024
