datetime,cruise_year,era5_region,sog_ms,slow,ice,wind,cold,fog,composite
2020-08-10 00:00:00,2020,east_siberian,6.106799931443544,0,0.30814906529017855,0.0,0.02352752685546875,1.0,0.2802732340494791
2020-08-10 02:00:00,2020,east_siberian,6.177732414121144,0,0.3624267578125,0.0,0.02186737060546875,1.0,0.3053814697265625
2020-08-10 03:00:00,2020,east_siberian,6.263969204099498,0,0.36399623325892855,0.0,0.02302703857421875,1.0,0.3062685139973958
2020-08-10 04:00:00,2020,east_siberian,5.061926187102687,1,0.4264700753348214,0.006377983093261719,0.00945281982421875,1.0,0.3353138732910156
2020-08-13 18:00:00,2020,east_siberian,5.483708597838344,0,0.5560825892857143,0.00044768651326497396,0.01616668701171875,0.98359375,0.3929259830050998
2020-08-13 19:00:00,2020,east_siberian,5.702024976221996,0,0.4643118722098214,0.016090838114420573,0.01890106201171875,0.97578125,0.3535940721299913
2020-08-13 20:00:00,2020,east_siberian,5.765509092722241,0,0.35021972656249994,0.03267043431599935,0.02017059326171875,0.97734375,0.3051499006483289
2020-08-13 22:00:00,2020,east_siberian,5.8777933494261,0,0.17177908761160712,0.11952228546142578,0.01177215576171875,1.0,0.24693913777669269
2020-08-13 23:00:00,2020,east_siberian,6.190739804416084,0,0.0,0.15734291076660156,0.01606903076171875,0.98994140625,0.17609283447265625
2020-08-14 00:00:00,2020,east_siberian,3.398937315190256,1,0.0,0.19749043782552084,0.02163543701171875,0.94775390625,0.18191602918836805
2020-08-14 07:00:00,2020,east_siberian,6.218628195981007,0,0.0,0.32411537170410154,0.03168182373046875,0.73212890625,0.18827219645182292
2020-08-14 08:00:00,2020,east_siberian,6.208075799016617,0,0.0,0.3315975824991861,0.02562713623046875,0.74853515625,0.19164766099717878
2020-08-14 09:00:00,2020,east_siberian,6.1518574026449135,0,0.0,0.32574469248453775,0.01730194091796875,0.953515625,0.21630759345160588
2020-08-14 11:00:00,2020,east_siberian,5.867249043878788,0,0.0,0.2794046401977539,0.00607147216796875,1.0,0.20865076700846352
2020-08-14 12:00:00,2020,east_siberian,5.993245356737452,0,0.0,0.273873011271159,0.00216522216796875,1.0,0.20665483262803824
2020-08-14 13:00:00,2020,east_siberian,6.171443269487013,0,0.0,0.16797812779744467,0.0,1.0,0.17812750074598524
2020-08-14 14:00:00,2020,east_siberian,6.3805857839162154,0,0.0,0.15610895156860352,0.0,1.0,0.17496238708496092
2020-08-14 15:00:00,2020,east_siberian,6.3485454866160715,0,0.0,0.17886470158894857,0.0,1.0,0.18103058709038627
2020-08-15 01:00:00,2020,east_siberian,6.522302300321558,0,0.0,0.0,0.0,0.98623046875,0.13149739583333334
2020-08-15 02:00:00,2020,east_siberian,6.58760300637525,0,0.0,0.0,0.0,0.97919921875,0.13055989583333333
2020-08-15 03:00:00,2020,east_siberian,6.54747823110209,0,0.0,0.07031431198120117,0.0,0.95859375,0.14656298319498698
2020-08-15 04:00:00,2020,east_siberian,6.645597052308895,0,0.0,0.11265811920166016,0.0,0.925,0.15337549845377604
2020-08-15 05:00:00,2020,east_siberian,6.735602085269963,0,0.0,0.10123662948608399,0.0,0.93515625,0.1516839345296224
2020-08-15 06:00:00,2020,east_siberian,6.765806165665224,0,0.0,0.11355861028035481,0.0,0.90390625,0.15080312940809462
2020-08-15 07:00:00,2020,east_siberian,6.695536507278159,0,0.0,0.10271100997924805,0.0,0.93125,0.15155626932779948
2020-08-15 08:00:00,2020,east_siberian,6.5080956981441584,0,0.0,0.08795630137125651,0.0,0.8984375,0.1432466803656684
2020-08-15 09:00:00,2020,east_siberian,6.412972873625083,0,0.0,0.20747572580973309,0.0,1.0,0.18866019354926217
2020-08-15 10:00:00,2020,east_siberian,6.339526125499082,0,0.0,0.3526070276896159,0.0,1.0,0.22736187405056424
2020-08-15 11:00:00,2020,east_siberian,6.217334392955395,0,0.0,0.3442233403523763,0.00038299560546875,1.0,0.22517729017469618
