sea,year,min_ice_doy,n_open_days,open_start,open_end,open_span
Laptev,2000,248,62,220.0,281.0,62.0
Laptev,2001,239,0,,,
Laptev,2002,245,48,223.0,270.0,48.0
Laptev,2003,271,53,221.0,278.0,58.0
Laptev,2004,266,0,,,
Laptev,2005,267,73,213.0,285.0,73.0
Laptev,2006,241,72,214.0,285.0,72.0
Laptev,2007,259,85,203.0,287.0,85.0
Laptev,2008,256,34,246.0,279.0,34.0
Laptev,2009,282,78,213.0,290.0,78.0
Laptev,2010,263,75,213.0,287.0,75.0
Laptev,2011,248,102,195.0,296.0,102.0
Laptev,2012,260,93,202.0,294.0,93.0
Laptev,2013,263,71,213.0,283.0,71.0
Laptev,2014,258,101,195.0,295.0,101.0
Laptev,2015,261,79,210.0,288.0,79.0
Laptev,2016,262,54,240.0,293.0,54.0
Laptev,2017,250,55,224.0,278.0,55.0
Laptev,2018,283,99,202.0,300.0,99.0
Laptev,2019,273,101,195.0,295.0,101.0
Laptev,2020,261,122,187.0,308.0,122.0
Laptev,2021,243,104,190.0,293.0,104.0
Laptev,2022,262,77,207.0,283.0,77.0
Laptev,2023,271,65,220.0,284.0,65.0
Laptev,2024,261,99,193.0,291.0,99.0
Laptev,2025,242,91,205.0,295.0,91.0
