datetime,n_sec,latitude,longitude,temp_c,rh,wspd,wspd_max,wdir,pres_hpa,heading,sog_ms,cog_deg,qc_bad_temp,qc_bad_wspd,qc_bad_pres,wspd_zero_frac,cruise_year,t2m_C,wind_ms,siconc,d2m_C,era5_lat,era5_lon,era5_region
2021-08-24 17:00:00,3551,74.4174485,167.85637316666666,-1.11,97.3,10.8,25.9,201.9640734286137,1004.76,190.77198401029,5.123602690470997,162.68902964731896,0.0,0.0,0.0,0.0,2021,-1.211029052734375,7.7858781814575195,0.0,-2.554779052734375,74.5,167.75,east_siberian
2021-08-24 18:00:00,3550,74.26287533333334,168.04379683333332,-0.92,95.95,10.5,28.3,204.4701408086164,1003.67,212.1150498935205,4.188667316028603,155.66757886571014,0.0,0.0,0.0,0.0,2021,-1.142669677734375,7.6578497886657715,0.0,-2.781341552734375,74.25,168.0,east_siberian
2021-08-24 19:00:00,3430,74.25012158333334,168.00527125,-0.65,93.5,10.1,21.8,205.8119776304442,1002.09,251.5093050975971,3.0803482144287804,232.0206940784442,0.0002915451895043,0.0,0.0002915451895043,0.0,2021,-1.142669677734375,7.6578497886657715,0.0,-2.781341552734375,74.25,168.0,east_siberian
2021-08-24 20:00:00,3519,74.18587666666667,167.721057,-0.23,90.7,8.2,17.5,206.30316395702584,1001.15,261.9533874956745,1.699533245773572,229.60069921057655,0.0,0.0,0.0,0.0,2021,-1.105560302734375,7.703149318695068,0.0,-2.695404052734375,74.25,167.75,east_siberian
2021-08-24 21:00:00,3521,74.18516183333332,167.71463433333332,-0.02,91.0,8.6,17.8,199.82313377593292,1000.37,247.07092982997173,0.0056399296755806,184.03658931107697,0.0,0.0,0.0,0.0,2021,-0.605316162109375,4.660312652587891,0.0,-1.229827880859375,74.25,167.75,east_siberian
2021-08-24 22:00:00,3561,74.20822033333334,167.64688383333336,-0.05,92.7,3.7,10.6,184.6629333652756,999.2,309.58466848916896,3.102312890224966,320.7800695332943,0.0,0.0,0.0,0.0,2021,-0.605316162109375,4.660312652587891,0.0,-1.229827880859375,74.25,167.75,east_siberian
2021-08-24 23:00:00,3539,74.26394366666666,167.47945966666666,-0.11,95.1,5.6,10.1,206.5950984785051,998.08,237.232631549247,0.0135983462908387,317.8485281233082,0.0,0.0,0.0,0.0,2021,-0.656097412109375,4.406611442565918,0.0,-1.270843505859375,74.25,167.5,east_siberian
2021-08-25 00:00:00,3566,74.29114508333333,167.60523691666668,-0.29,97.7,4.8,9.3,221.40505590875463,997.25,49.49763154627731,2.990494794313268,50.34381012553319,0.0,0.0,0.0,0.0,2021,-0.656097412109375,4.406611442565918,0.0,-1.270843505859375,74.25,167.5,east_siberian
2021-08-25 01:00:00,3528,74.33699583333333,167.81068950000002,-0.36,98.8,3.8,6.4,251.43838081888612,996.09,232.73029028466084,0.0111939047114807,44.58822980498701,0.0,0.0,0.0,0.0,2021,-0.605316162109375,4.660312652587891,0.0,-1.229827880859375,74.25,167.75,east_siberian
2021-08-25 02:00:00,3535,74.3370145,167.81076016666665,-0.46,99.1,3.4,8.3,287.0067149400716,995.52,272.35183701159525,0.0029130373293921,38.63947616401077,0.0,0.0,0.0,0.0,2021,-0.605316162109375,4.660312652587891,0.0,-1.229827880859375,74.25,167.75,east_siberian
2021-08-25 03:00:00,3562,74.36694941666667,167.95074266666666,-0.57,99.2,3.8,8.3,321.29275155619086,995.26,28.695618325844222,2.9757477729673623,48.680062032011094,0.0,0.0,0.0,0.0,2021,-0.952239990234375,3.885413885116577,0.0,-1.545501708984375,74.25,168.0,east_siberian
2021-08-25 04:00:00,3515,74.3957465,167.94074733333335,-0.64,99.3,5.1,10.3,350.55058210488716,994.85,333.2300945711702,0.0142630907537155,339.49828784043734,0.0,0.0,0.0,0.0,2021,-1.114349365234375,4.1840386390686035,0.0,-1.861907958984375,74.5,168.0,east_siberian
2021-08-25 05:00:00,3527,74.4016445,167.92099716666664,-0.71,99.3,4.9,9.6,358.23811160252075,994.81,325.0991551323099,0.0036576389222793,133.49250204653,0.0,0.0,0.0,0.0,2021,-1.114349365234375,4.1840386390686035,0.0,-1.861907958984375,74.5,168.0,east_siberian
2021-08-25 06:00:00,3539,74.43350533333334,167.82324666666665,-0.75,99.3,6.6,11.8,13.091290142729864,994.59,329.7102555076174,2.9117232367580717,323.6510797461241,0.0,0.0,0.0,0.0,2021,-1.112396240234375,4.199828147888184,0.0,-1.850189208984375,74.5,167.75,east_siberian
2021-08-25 07:00:00,3510,74.45192666666667,167.76419383333334,-0.82,99.2,5.9,10.4,19.285749244776447,995.0,3.5147639927751224,0.003329063504976,215.38423289108823,0.0,0.0,0.0,0.0,2021,-1.112396240234375,4.199828147888184,0.0,-1.850189208984375,74.5,167.75,east_siberian
